F1 ,F2,F3,F4,F5,F6,F7,F8,F9,Class
744,156,5,30,63,99,114,32,122,Abnormal
603,87,5,25,63,51,61,16,122,Abnormal
674,87,5,25,63,51,61,16,122,Abnormal
517,10,1,15,55,0,0,0,126,Abnormal
648,128,5,33,67,81,99,19,122,Abnormal
720,128,5,33,67,81,99,19,122,Abnormal
599,79,5,19,67,53,57,12,122,Abnormal
670,79,5,19,67,53,57,12,122,Abnormal
593,73,5,22,67,47,54,9,122,Abnormal
664,73,5,22,67,47,54,9,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
610,15,1,16,72,3,4,1,122,Abnormal
538,22,1,16,63,9,10,2,122,Abnormal
609,22,1,16,63,9,10,2,122,Abnormal
560,44,1,15,63,32,32,2,122,Abnormal
631,44,1,15,63,32,32,2,122,Abnormal
555,10,1,15,93,0,0,0,122,Abnormal
631,116,3,47,62,49,81,25,122,Abnormal
703,116,3,47,62,49,81,25,122,Abnormal
570,55,3,20,62,32,37,8,122,Abnormal
641,55,3,20,62,32,37,8,122,Abnormal
568,53,3,19,62,32,36,7,122,Abnormal
1479,262,13,52,62,179,216,36,122,Abnormal
852,334,13,86,65,207,278,46,122,Abnormal
924,334,13,86,65,207,278,46,122,Abnormal
836,318,13,84,65,197,266,42,122,Abnormal
908,318,13,84,65,197,266,42,122,Abnormal
782,264,13,52,65,180,217,37,122,Abnormal
854,264,13,52,65,180,217,37,122,Abnormal
781,263,13,52,65,180,217,36,122,Abnormal
853,263,13,52,65,180,217,36,122,Abnormal
516,10,1,15,54,0,0,0,122,Abnormal
546,30,1,17,63,15,17,3,122,Abnormal
617,30,1,17,63,15,17,3,122,Abnormal
544,28,1,16,63,15,16,2,122,Abnormal
615,28,1,16,63,15,16,2,122,Abnormal
543,10,1,15,81,0,0,0,122,Abnormal
511,10,1,15,49,0,0,0,122,Abnormal
517,10,1,15,55,0,0,0,122,Abnormal
528,10,1,15,66,0,0,0,122,Abnormal
557,10,1,15,95,0,0,0,122,Abnormal
526,10,1,15,64,0,0,0,122,Abnormal
529,10,1,15,67,0,0,0,122,Abnormal
925,408,13,79,64,274,338,60,122,Abnormal
997,408,13,79,64,274,338,60,122,Abnormal
751,234,13,46,64,159,190,34,122,Abnormal
823,234,13,46,64,159,190,34,122,Abnormal
764,247,13,52,64,165,202,35,122,Abnormal
836,247,13,52,64,165,202,35,122,Abnormal
756,239,13,50,64,161,196,33,122,Abnormal
828,239,13,50,64,161,196,33,122,Abnormal
518,10,1,15,56,0,0,0,122,Abnormal
526,10,1,15,64,0,0,0,122,Abnormal
662,146,5,33,63,93,111,25,122,Abnormal
734,146,5,33,63,93,111,25,122,Abnormal
602,86,5,24,63,51,60,16,122,Abnormal
673,86,5,24,63,51,60,16,122,Abnormal
600,84,5,23,63,51,59,15,122,Abnormal
671,84,5,23,63,51,59,15,122,Abnormal
1180,10,1,15,66,0,0,0,122,Abnormal
665,145,5,49,67,82,116,19,122,Abnormal
737,145,5,49,67,82,116,19,122,Abnormal
601,81,5,21,67,53,59,12,122,Abnormal
672,81,5,21,67,53,59,12,122,Abnormal
594,74,5,22,67,48,55,9,122,Abnormal
665,74,5,22,67,48,55,9,122,Abnormal
1123,10,1,15,64,0,0,0,122,Abnormal
543,18,1,18,72,3,6,2,122,Abnormal
613,18,1,18,72,3,6,2,122,Abnormal
540,15,1,16,72,3,4,1,122,Abnormal
610,15,1,16,72,3,4,1,122,Abnormal
538,10,1,15,76,0,0,0,122,Abnormal
520,10,1,15,58,0,0,0,122,Abnormal
639,123,1,42,63,74,101,12,122,Abnormal
711,123,1,42,63,74,101,12,122,Abnormal
581,65,1,30,63,23,38,17,122,Abnormal
652,65,1,30,63,23,38,17,122,Abnormal
